Sample name	Encoding	Read length	Number of reads	Read depth	%GC	Deduplicated percentage	Per base sequence quality	Per tile sequence quality	Per sequence quality scores	Per base sequence content	Per sequence GC content	Per base N content	Sequence length distribution	Sequence duplication levels	Overrepresented sequences	Adapter content	Kmer content
2012CM7F040P07__Forward_ScytheTrimmed	Sanger / Illumina 1.9	1-101	152109465	12	35	72.2864309893628	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS
2012CM7F040P07__Reverse_ScytheTrimmed	Sanger / Illumina 1.9	1-101	152109465	12	35	72.48263389042187	PASS	WARN	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	PASS
2012CM8F030P02__Forward_ScytheTrimmed	Sanger / Illumina 1.9	1-101	148440142	12	35	71.77672124667103	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS
2012CM8F030P02__Reverse_ScytheTrimmed	Sanger / Illumina 1.9	1-101	148440142	12	35	71.9050847333431	PASS	WARN	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	PASS
2012CM8F030P07__Forward_ScytheTrimmed	Sanger / Illumina 1.9	1-101	158655123	13	35	72.28438365421059	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS
2012CM8F030P07__Reverse_ScytheTrimmed	Sanger / Illumina 1.9	1-101	158655123	13	35	72.53153713315943	PASS	WARN	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	PASS
2012CM8F030P09__Forward_ScytheTrimmed	Sanger / Illumina 1.9	1-101	152118060	12	35	72.59577321837716	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS
2012CM8F030P09__Reverse_ScytheTrimmed	Sanger / Illumina 1.9	1-101	152118060	12	35	72.71165074998748	PASS	WARN	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	PASS
2012DM8F016P02__Forward_ScytheTrimmed	Sanger / Illumina 1.9	1-101	157757983	13	35	73.2996607840337	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS
2012DM8F016P02__Reverse_ScytheTrimmed	Sanger / Illumina 1.9	1-101	157757983	13	35	73.51879825412809	PASS	WARN	PASS	PASS	WARN	PASS	WARN	PASS	WARN	PASS	PASS
4R30C22acr626MN13__Forward_ScytheTrimmed	Sanger / Illumina 1.9	1-126	85236110	8	34	76.7382231075734	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	FAIL
4R30C22acr626MN13__Reverse_ScytheTrimmed	Sanger / Illumina 1.9	1-126	85236110	8	34	77.3831560873126	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	FAIL
5R39C03Dr334cMN12__Forward_ScytheTrimmed	Sanger / Illumina 1.9	1-126	86729544	9	35	72.12097251662341	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	WARN	PASS	FAIL
5R39C03Dr334cMN12__Reverse_ScytheTrimmed	Sanger / Illumina 1.9	1-126	86729544	9	35	73.22448048714118	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	WARN	PASS	FAIL
6R40C84Dar41dMNB12__Forward_ScytheTrimmed	Sanger / Illumina 1.9	1-126	88917434	9	38	67.95434215014279	PASS	PASS	PASS	PASS	WARN	PASS	WARN	WARN	WARN	PASS	FAIL
6R40C84Dar41dMNB12__Reverse_ScytheTrimmed	Sanger / Illumina 1.9	1-126	88917434	9	38	69.12411622094659	PASS	PASS	PASS	PASS	WARN	PASS	WARN	WARN	WARN	PASS	FAIL
FN0112228.06.02.01.M5__Forward_ScytheTrimmed	Sanger / Illumina 1.9	1-101	182321980	15	33	66.69063115676796	PASS	PASS	PASS	PASS	PASS	PASS	WARN	WARN	WARN	PASS	FAIL
FN0112228.06.02.01.M5__Reverse_ScytheTrimmed	Sanger / Illumina 1.9	1-101	182321980	15	33	68.94498656884439	PASS	PASS	PASS	PASS	PASS	WARN	WARN	WARN	WARN	PASS	FAIL
FN0112885.02.06.03.M5__Forward_ScytheTrimmed	Sanger / Illumina 1.9	1-101	268497191	22	37	60.306201917273505	PASS	PASS	PASS	PASS	WARN	PASS	WARN	WARN	PASS	PASS	FAIL
FN0112885.02.06.03.M5__Reverse_ScytheTrimmed	Sanger / Illumina 1.9	1-101	268497191	22	37	62.043741427076405	PASS	PASS	PASS	WARN	PASS	PASS	WARN	WARN	WARN	PASS	FAIL
