Sample name	Encoding	Read length	Number of reads	Read depth	%GC	Deduplicated percentage	Per base sequence quality	Per tile sequence quality	Per sequence quality scores	Per base sequence content	Per sequence GC content	Per base N content	Sequence length distribution	Sequence duplication levels	Overrepresented sequences	Adapter content	Kmer content
PI_417091_1	Sanger / Illumina 1.9	90	83803238	6	35	80.11863428316505	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_417091_2	Sanger / Illumina 1.9	90	83803238	6	35	80.88489552841718	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_424078_1	Sanger / Illumina 1.9	90	76829517	5	35	80.42087845888342	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_424078_2	Sanger / Illumina 1.9	90	76829517	5	35	81.39625979296221	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_424079_1	Sanger / Illumina 1.9	90	76602122	5	34	82.86515868814091	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_424079_2	Sanger / Illumina 1.9	90	76602122	5	34	83.8398465786564	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_424088_1	Sanger / Illumina 1.9	90	77968119	5	34	83.41645064411401	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
PI_424088_2	Sanger / Illumina 1.9	90	77968119	5	35	84.08826228834229	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
PI_424298_1	Sanger / Illumina 1.9	90	97511583	7	36	78.97985338769551	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_424298_2	Sanger / Illumina 1.9	90	97511583	7	36	80.14684440288022	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_424608A_1	Sanger / Illumina 1.9	90	75566842	5	35	81.97424509333699	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_424608A_2	Sanger / Illumina 1.9	90	75566842	5	35	82.58524601012982	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_437169B_1	Sanger / Illumina 1.9	90	85005866	6	35	79.61404448748674	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_437169B_2	Sanger / Illumina 1.9	90	85005866	6	35	80.67950753084028	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_437654_1	Sanger / Illumina 1.9	90	97434432	7	36	79.15937109215324	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	FAIL
PI_437654_2	Sanger / Illumina 1.9	90	97434432	7	36	79.93981816945745	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	FAIL
PI_437655_1	Sanger / Illumina 1.9	90	82501488	6	34	78.31922530601558	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_437655_2	Sanger / Illumina 1.9	90	82501488	6	34	79.53994132098822	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_437679_1	Sanger / Illumina 1.9	90	75339868	5	35	81.85685533992365	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_437679_2	Sanger / Illumina 1.9	90	75339868	5	35	82.54424934050367	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_437690_1	Sanger / Illumina 1.9	90	87024313	6	35	79.8752591435126	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_437690_2	Sanger / Illumina 1.9	90	87024313	6	35	81.04551084612362	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_437725_1	Sanger / Illumina 1.9	90	76639578	5	34	81.45694655889366	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_437725_2	Sanger / Illumina 1.9	90	76639578	5	34	82.44051407112163	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_437863A_1	Sanger / Illumina 1.9	90	76634248	5	34	79.07882361540317	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_437863A_2	Sanger / Illumina 1.9	90	76634248	5	34	79.75577884994902	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_438258_1	Sanger / Illumina 1.9	90	76890095	5	34	80.27121476499029	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	FAIL
PI_438258_2	Sanger / Illumina 1.9	90	76890095	5	35	80.8478491936976	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	FAIL
PI_438471_1	Sanger / Illumina 1.9	90	85043867	6	35	81.07440673165053	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_438471_2	Sanger / Illumina 1.9	90	85043867	6	35	81.9785500148367	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_458515_1	Sanger / Illumina 1.9	90	77319587	5	34	81.98939675305277	PASS	WARN	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_458515_2	Sanger / Illumina 1.9	90	77319587	5	34	83.23200745873899	PASS	WARN	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_464920B_1	Sanger / Illumina 1.9	90	77480287	5	34	82.49819909017062	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_464920B_2	Sanger / Illumina 1.9	90	77480287	5	34	84.0507170497569	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_467312_1	Sanger / Illumina 1.9	90	76569722	5	34	82.59150440404605	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_467312_2	Sanger / Illumina 1.9	90	76569722	5	34	83.92949443099192	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_468915_1	Sanger / Illumina 1.9	90	74659666	5	36	81.60437832412659	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_468915_2	Sanger / Illumina 1.9	90	74659666	5	36	82.26689905167	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_471938_1	Sanger / Illumina 1.9	90	76411184	5	34	82.83757601160248	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_471938_2	Sanger / Illumina 1.9	90	76411184	5	34	84.07537490697347	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_475783B_1	Sanger / Illumina 1.9	90	76118918	5	34	83.3735473440346	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_475783B_2	Sanger / Illumina 1.9	90	76118918	5	35	84.53064151352787	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_483463-soja_1	Sanger / Illumina 1.9	90	76057685	5	34	83.76191700576025	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_483463-soja_2	Sanger / Illumina 1.9	90	76057685	5	35	84.84870337095798	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_495017C_1	Sanger / Illumina 1.9	90	94123128	7	34	78.60365384794241	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_495017C_2	Sanger / Illumina 1.9	90	94123128	7	35	79.3220877034103	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	FAIL
PI_507354_1	Sanger / Illumina 1.9	90	80494975	6	35	81.84268582536706	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	FAIL
PI_507354_2	Sanger / Illumina 1.9	90	80494975	6	35	81.91704337016384	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	FAIL
PI_518664_1	Sanger / Illumina 1.9	90	88798303	6	36	79.29069930841777	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	FAIL
PI_518664_2	Sanger / Illumina 1.9	90	88798303	6	36	80.00491268910851	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	FAIL
PI_518751_1	Sanger / Illumina 1.9	90	77319780	5	35	80.61326972887638	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_518751_2	Sanger / Illumina 1.9	90	77319780	5	35	81.93543837250488	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_542044_1	Sanger / Illumina 1.9	90	84173204	6	35	80.09892834473818	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_542044_2	Sanger / Illumina 1.9	90	84173204	6	35	80.9698977108012	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_547862_1	Sanger / Illumina 1.9	90	76301292	5	34	81.68766796493317	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_547862_2	Sanger / Illumina 1.9	90	76301292	5	34	82.90875950858714	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_548316_1	Sanger / Illumina 1.9	90	105706323	7	36	80.33209951254284	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
