SRR1737869_2.fastq.gz	2012CM8F030P07_R2_1.fastq.gz
SRR1737870_2.fastq.gz	2012CM8F030P07_R2_2.fastq.gz
SRR1737871_2.fastq.gz	2012CM8F030P07_R2_3.fastq.gz
SRR1737872_2.fastq.gz	2012CM8F030P07_R2_4.fastq.gz
SRR1737873_2.fastq.gz	2012CM8F030P07_R2_5.fastq.gz
SRR1737874_2.fastq.gz	2012CM8F030P07_R2_6.fastq.gz
SRR1737875_2.fastq.gz	2012CM8F030P07_R2_7.fastq.gz
SRR1737876_2.fastq.gz	2012CM8F030P07_R2_8.fastq.gz
SRR1737885_1.fastq.gz	2012CM8F030P09_R1_1.fastq.gz
SRR1737886_1.fastq.gz	2012CM8F030P09_R1_2.fastq.gz
SRR1737887_1.fastq.gz	2012CM8F030P09_R1_3.fastq.gz
SRR1737888_1.fastq.gz	2012CM8F030P09_R1_4.fastq.gz
SRR1737889_1.fastq.gz	2012CM8F030P09_R1_5.fastq.gz
SRR1737890_1.fastq.gz	2012CM8F030P09_R1_6.fastq.gz
SRR1737891_1.fastq.gz	2012CM8F030P09_R1_7.fastq.gz
SRR1737892_1.fastq.gz	2012CM8F030P09_R1_8.fastq.gz
SRR1737885_2.fastq.gz	2012CM8F030P09_R2_1.fastq.gz
SRR1737886_2.fastq.gz	2012CM8F030P09_R2_2.fastq.gz
SRR1737887_2.fastq.gz	2012CM8F030P09_R2_3.fastq.gz
SRR1737888_2.fastq.gz	2012CM8F030P09_R2_4.fastq.gz
SRR1737889_2.fastq.gz	2012CM8F030P09_R2_5.fastq.gz
SRR1737890_2.fastq.gz	2012CM8F030P09_R2_6.fastq.gz
SRR1737891_2.fastq.gz	2012CM8F030P09_R2_7.fastq.gz
SRR1737892_2.fastq.gz	2012CM8F030P09_R2_8.fastq.gz
SRR1737901_1.fastq.gz	2012DM8F016P02_R1_1.fastq.gz
SRR1737902_1.fastq.gz	2012DM8F016P02_R1_2.fastq.gz
SRR1737903_1.fastq.gz	2012DM8F016P02_R1_3.fastq.gz
SRR1737904_1.fastq.gz	2012DM8F016P02_R1_4.fastq.gz
SRR1737905_1.fastq.gz	2012DM8F016P02_R1_5.fastq.gz
SRR1737906_1.fastq.gz	2012DM8F016P02_R1_6.fastq.gz
SRR1737907_1.fastq.gz	2012DM8F016P02_R1_7.fastq.gz
SRR1737908_1.fastq.gz	2012DM8F016P02_R1_8.fastq.gz
